,Term,Stem,wTFref,SType,Pow-Score,Pow-TF,Pow-wTF,Uni-Score,Uni-TF,Uni-wTF
92,alberto,alberto,,noref,,,,,3.0,7.798284377436964e-06
93,albinism,albin,,noref,,,,,3.0,7.798284377436964e-06
94,alchemy,alchemi,,noref,,,,,4.0,1.0397712503249286e-05
95,aldermaston,aldermaston,,noref,,,,,4.0,1.0397712503249286e-05
96,aldo,aldo,,noref,,,,,15.0,3.899142188718482e-05
97,aldous,aldou,,noref,,,,,15.0,3.899142188718482e-05
98,alegre,alegr,,noref,,,,,7.0,1.819599688068625e-05
99,alembert,alembert,,noref,,,,,11.0,2.8593709383935534e-05
100,alexandre,alexandr,,noref,,,,,3.0,7.798284377436964e-06
101,alexandra,alexandra,,noref,,,,,6.0,1.5596568754873928e-05
102,alexandrian,alexandrian,,noref,,,,,3.0,7.798284377436964e-06
103,alexis,alexi,,noref,,,,,5.0,1.2997140629061606e-05
104,algaran,algaran,,noref,,,,,3.0,7.798284377436964e-06
105,algeria,algeria,,noref,,,,,13.0,3.379256563556018e-05
106,algiers,algier,,noref,,,,,3.0,7.798284377436964e-06
107,algorithm,algorithm,,noref,,,,,3.0,7.798284377436964e-06
108,algorithmic,algorithm,,noref,,,,,5.0,1.2997140629061606e-05
109,ali,ali,,noref,,,,,24.0,6.238627501949571e-05
110,alistair,alistair,,noref,,,,,3.0,7.798284377436964e-06
111,allah,allah,,noref,,,,,54.0,0.00014036911879386534
112,allende,allend,,noref,,,,,9.0,2.339485313231089e-05
113,allogenic,allogen,,noref,,,,,4.0,1.0397712503249286e-05
114,allophilia,allophilia,,noref,,,,,4.0,1.0397712503249286e-05
115,allure,allur,,noref,,,,,3.0,7.798284377436964e-06
116,almanac,almanac,,noref,,,,,8.0,2.079542500649857e-05
117,alps,alp,,noref,,,,,3.0,7.798284377436964e-06
118,alpine,alpin,,noref,,,,,3.0,7.798284377436964e-06
119,altgeld,altgeld,,noref,,,,,6.0,1.5596568754873928e-05
120,altruism,altruism,,noref,,,,,44.0,0.00011437483753574213
121,altruistic,altruist,,noref,,,,,10.0,2.5994281258123212e-05
122,altruists,altruist,,noref,,,,,3.0,7.798284377436964e-06
123,amalgamation,amalgam,,noref,,,,,3.0,7.798284377436964e-06
124,amartya,amartya,,noref,,,,,3.0,7.798284377436964e-06
125,amazon,amazon,,noref,,,,,17.0,4.4190278138809465e-05
126,ambient,ambient,,noref,,,,,3.0,7.798284377436964e-06
127,ambiente,ambient,,noref,,,,,4.0,1.0397712503249286e-05
128,ames,ame,,noref,,,,,7.0,1.819599688068625e-05
129,amendatory,amendatori,,noref,,10.0,0.00037163668797383676,,,
130,amidon,amidon,,noref,,,,,3.0,7.798284377436964e-06
131,amish,amish,,noref,,,,,6.0,1.5596568754873928e-05
132,amity,amiti,,noref,,9.0,0.0003344730191764531,,9.0,2.339485313231089e-05
133,ammon,ammon,,noref,,,,,4.0,1.0397712503249286e-05
134,amparo,amparo,,noref,,,,,6.0,1.5596568754873928e-05
135,amphibian,amphibian,,noref,,,,,4.0,1.0397712503249286e-05
136,amphibians,amphibian,,noref,,,,,11.0,2.8593709383935534e-05
137,ana,ana,,noref,,,,,4.0,1.0397712503249286e-05
138,anabaptism,anabapt,,noref,,,,,6.0,1.5596568754873928e-05
139,anabaptist,anabaptist,,noref,,,,,5.0,1.2997140629061606e-05
140,anabaptists,anabaptist,,noref,,,,,4.0,1.0397712503249286e-05
141,anaerobic,anaerob,,noref,,,,,11.0,2.8593709383935534e-05
142,anagarika,anagarika,,noref,,,,,3.0,7.798284377436964e-06
143,analogia,analogia,,noref,,,,,6.0,1.5596568754873928e-05
144,ananda,ananda,,noref,,,,,41.0,0.00010657655315830518
145,anandamurti,anandamurti,,noref,,,,,4.0,1.0397712503249286e-05
146,anarchic,anarch,,noref,,,,,3.0,7.798284377436964e-06
147,anarchism,anarch,,noref,2.168709366916599,29.0,0.0010777463951241266,,258.0,0.0006706524564595789
148,anarcha,anarcha,,noref,,,,,13.0,3.379256563556018e-05
149,anarchica,anarchica,,noref,,,,,3.0,7.798284377436964e-06
150,anarchist,anarchist,,noref,,11.0,0.00040880035677122044,,241.0,0.0006264621783207694
151,anarchiste,anarchist,,noref,,,,,6.0,1.5596568754873928e-05
152,anarchistic,anarchist,,noref,,,,,3.0,7.798284377436964e-06
153,anarchists,anarchist,,noref,,,,,93.0,0.00024174681570054589
154,anarcho,anarcho,,noref,,7.0,0.00026014568158168577,,90.0,0.00023394853132310893
155,anarquismo,anarquismo,,noref,,,,,3.0,7.798284377436964e-06
156,anathema,anathema,,noref,,,,,4.0,1.0397712503249286e-05
157,anathemas,anathema,,noref,,,,,7.0,1.819599688068625e-05
158,anatta,anatta,,noref,,,,,4.0,1.0397712503249286e-05
159,anc,anc,,noref,,,,,4.0,1.0397712503249286e-05
160,andalusia,andalusia,,noref,,,,,4.0,1.0397712503249286e-05
161,andc,andc,,noref,,,,,4.0,1.0397712503249286e-05
162,anders,ander,,noref,,,,,4.0,1.0397712503249286e-05
163,andorra,andorra,,noref,,,,,4.0,1.0397712503249286e-05
164,anekantavada,anekantavada,,noref,,,,,7.0,1.819599688068625e-05
165,anesthesia,anesthesia,,noref,,,,,3.0,7.798284377436964e-06
166,angela,angela,,noref,,,,,6.0,1.5596568754873928e-05
167,anglo,anglo,,noref,,,,,4.0,1.0397712503249286e-05
168,anglophone,anglophon,,noref,,,,,4.0,1.0397712503249286e-05
169,anicca,anicca,,noref,,,,,3.0,7.798284377436964e-06
170,annan,annan,,noref,,,,,6.0,1.5596568754873928e-05
