,TF,Term,Stem,wTF,SType,Score,wTFref
7926,98,quaker,quaker,0.0002547439563296075,raw,2.9871184242222255,1.284738801895418e-05
430,49,deductive,deduct,0.00012737197816480375,raw,2.9871184242222255,6.42369400947709e-06
3226,48,vegetation,veget,0.00012477255003899142,raw,2.9664991370194898,6.42369400947709e-06
3717,48,coined,coin,0.00012477255003899142,raw,2.9664991370194898,6.42369400947709e-06
2473,79,genetic,genet,0.0002053548219391734,raw,2.95392035481263,1.0706156682461817e-05
2148,63,meditation,medit,0.00016376397192617624,stem,2.950750780051351,8.564925345969454e-06
744,676,environment,environ,0.0017572134130491293,raw,2.9489033751291105,9.207294746917162e-05
1510,46,faiths,faith,0.00011957369378736678,raw,2.923939522600694,6.42369400947709e-06
4388,46,individualist,individualist,0.00011957369378736678,raw,2.923939522600694,6.42369400947709e-06
8489,46,advocacy,advocaci,0.00011957369378736678,raw,2.923939522600694,6.42369400947709e-06
2630,45,ideologies,ideolog,0.00011697426566155446,raw,2.9019606158819187,6.42369400947709e-06
77,236,reasoning,reason,0.0006134650376917078,raw,2.8851534975655375,3.4259701383877815e-05
3075,43,protecting,protect,0.00011177540940992982,raw,2.8564982418051614,6.42369400947709e-06
884,1084,rights,right,0.002817780088380556,raw,2.8385181749256163,0.00016487481290991199
1545,126,philosophers,philosoph,0.0003275279438523525,raw,2.832967744394967,1.927108202843127e-05
4072,111,marx,marx,0.00028853652196516764,raw,2.8239990744122068,1.7129850691938907e-05
1666,69,doctrines,doctrin,0.00017936054068105016,raw,2.818579006942868,1.0706156682461817e-05
5868,69,hazardous,hazard,0.00017936054068105016,raw,2.818579006942868,1.0706156682461817e-05
1997,413,consciousness,conscious,0.0010735638159604887,raw,2.8161606260785863,6.42369400947709e-05
810,55,disciplines,disciplin,0.00014296854691967767,raw,2.814949238892289,8.564925345969454e-06
13,80,definitions,definit,0.0002079542500649857,raw,2.7841775802255353,1.284738801895418e-05
2577,306,discrimination,discrimin,0.0007954250064985703,raw,2.7820013008029396,4.9248320739324355e-05
3583,79,capitalist,capitalist,0.0002053548219391734,raw,2.771598798018675,1.284738801895418e-05
698,131,topics,topic,0.0003405250844814141,raw,2.7665226449868143,2.1412313364923634e-05
779,52,researchers,research,0.0001351702625422407,raw,2.7588597722412453,8.564925345969454e-06
5049,39,emergence,emerg,0.00010137769690668053,raw,2.7588597722412453,6.42369400947709e-06
